pickup_datetime,passenger_count,trip_distance
2016-10-09,415904,0.0
2016-10-10,325232,0.0
2016-10-11,340464,0.0
2016-10-12,324452,0.0
2016-10-13,404169,0.0
2016-10-14,440727,0.0
2016-10-15,464922,0.0
2016-10-16,403485,0.0
2016-10-17,342410,0.0
2016-10-18,359739,0.0
2016-10-19,390362,0.0
2016-10-20,416613,0.0
2016-10-21,487689,0.0
2016-10-22,511821,0.0
2016-10-23,415773,0.0
2016-10-24,354282,0.0
2016-10-25,393213,0.0
2016-10-26,414788,0.0
2016-10-27,494932,0.0
2016-10-28,494333,0.0
2016-10-29,529010,0.0
2016-10-30,471743,0.0
2016-10-31,374093,0.0
2016-11-01,387986,0.0
2016-11-02,388804,0.0
2016-11-03,434862,0.0
2016-11-04,459520,0.0
2016-11-05,482095,0.0
2016-11-06,395450,0.0
2016-11-07,372146,0.0
2016-11-08,365860,0.0
2016-11-09,415854,0.0
2016-11-10,418606,0.0
2016-11-11,456164,0.0
2016-11-12,491405,0.0
2016-11-13,419595,0.0
2016-11-14,356661,0.0
2016-11-15,418716,0.0
2016-11-16,388797,0.0
2016-11-17,416286,0.0
2016-11-18,443891,0.0
2016-11-19,486588,0.0
2016-11-20,452911,0.0
2016-11-21,412670,0.0
2016-11-22,431609,0.0
2016-11-23,431748,0.0
2016-11-24,369520,0.0
2016-11-25,345706,0.0
2016-11-26,389512,0.0
2016-11-27,374021,0.0
2016-11-28,372713,0.0
2016-11-29,463194,0.0
2016-11-30,453745,0.0
2016-12-01,452490,0.0
2016-12-02,500696,0.0
2016-12-03,534162,0.0
2016-12-04,457793,0.0
2016-12-05,409738,0.0
2016-12-06,466585,0.0
2016-12-07,444520,0.0
2016-12-08,484789,0.0
2016-12-09,543698,0.0
2016-12-10,572306,0.0
2016-12-11,479093,0.0
2016-12-12,420286,0.0
2016-12-13,426727,0.0
2016-12-14,461293,0.0
2016-12-15,556242,0.0
2016-12-16,580773,0.0
2016-12-17,553942,0.0
2016-12-18,465982,0.0
2016-12-19,430351,0.0
2016-12-20,432321,0.0
2016-12-21,432472,0.0
2016-12-22,432676,0.0
2016-12-23,419658,0.0
2016-12-24,390726,0.0
2016-12-25,310035,0.0
2016-12-26,285508,0.0
2016-12-27,318378,0.0
2016-12-28,351170,0.0
2016-12-29,392398,0.0
2016-12-30,426911,0.0
2016-12-31,477702,0.0
2017-01-01,352881,0.0
2017-01-02,234635,60.0
2017-01-03,265680,0.0
2017-01-04,255034,0.0
2017-01-05,284719,0.0
2017-01-06,330535,0.0
2017-01-07,357427,0.0
2017-01-08,327918,0.0
2017-01-09,301811,0.0
2017-01-10,286147,0.0
2017-01-11,292444,0.0
2017-01-12,299460,0.0
2017-01-13,342065,0.0
2017-01-14,397431,0.0
2017-01-15,341288,0.0
2017-01-16,268837,0.0
2017-01-17,332394,0.0
2017-01-18,301900,0.0
2017-01-19,311939,0.0
2017-01-20,356864,0.0
2017-01-21,354616,0.0
2017-01-22,323862,0.0
2017-01-23,337031,0.0
2017-01-24,350355,0.0
2017-01-25,311343,0.0
2017-01-26,331548,0.0
2017-01-27,369652,0.0
2017-01-28,411278,0.0
2017-01-29,335730,0.0
2017-01-30,276183,0.0
2017-01-31,297952,0.0
2017-02-01,292234,0.0
2017-02-02,321725,0.0
2017-02-03,383350,0.0
2017-02-04,421840,0.0
2017-02-05,377537,0.0
2017-02-06,295028,0.0
2017-02-07,323555,0.0
2017-02-08,321116,0.0
2017-02-09,270099,0.0
2017-02-10,418373,0.0
2017-02-11,443277,0.0
2017-02-12,399203,0.0
2017-02-13,318155,0.0
2017-02-14,368153,0.0
2017-02-15,342968,0.0
2017-02-16,335992,0.0
2017-02-17,378169,0.0
2017-02-18,388263,0.0
2017-02-19,349019,0.0
2017-02-20,285563,0.0
2017-02-21,285354,0.0
2017-02-22,297492,0.0
2017-02-23,325206,0.0
2017-02-24,362505,0.0
2017-02-25,430038,0.0
